[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [exec-1]: process started with pid [3307]
[exec-1] [INFO] [1700515609.647994215] [laserdrive]: Range at 90: 16.0
[exec-1] [INFO] [1700515609.648327151] [laserdrive]: Range at -90: 0.31825000047683716
[exec-1] [INFO] [1700515609.648711675] [laserdrive]: Range at 3.1415927410125732: 0.0
[exec-1] [INFO] [1700515609.694127107] [laserdrive]: Range at 0: 16.0
[exec-1] [INFO] [1700515609.695917247] [laserdrive]: Range at 90: 16.0
[exec-1] [INFO] [1700515609.696319125] [laserdrive]: Range at -90: 0.31299999356269836
[exec-1] [INFO] [1700515609.696701035] [laserdrive]: Range at 3.1415927410125732: 0.0
[exec-1] [INFO] [1700515609.779817270] [laserdrive]: Range at 0: 16.0
[exec-1] [INFO] [1700515609.780172258] [laserdrive]: Range at 90: 0.0
[exec-1] [INFO] [1700515609.780518069] [laserdrive]: Range at -90: 0.3082500100135803
[exec-1] [INFO] [1700515609.780822139] [laserdrive]: Range at 3.1415927410125732: 0.0
[exec-1] [INFO] [1700515609.831088334] [laserdrive]: Range at 0: 0.0
[exec-1] [INFO] [1700515609.835621591] [laserdrive]: Range at 90: 3.725749969482422
[exec-1] [INFO] [1700515609.836123120] [laserdrive]: Range at -90: 0.0
[exec-1] [INFO] [1700515609.836466716] [laserdrive]: Range at 3.1415927410125732: 16.0
[exec-1] [INFO] [1700515609.955403784] [laserdrive]: Range at 0: 16.0
[exec-1] [INFO] [1700515609.955887539] [laserdrive]: Range at 90: 16.0
[exec-1] [INFO] [1700515609.956200897] [laserdrive]: Range at -90: 0.3009999990463257
[exec-1] [INFO] [1700515609.956501823] [laserdrive]: Range at 3.1415927410125732: 0.0
[exec-1] [INFO] [1700515610.022850746] [laserdrive]: Range at 0: 16.0
[exec-1] [INFO] [1700515610.023531196] [laserdrive]: Range at 90: 16.0
[exec-1] [INFO] [1700515610.023874813] [laserdrive]: Range at -90: 0.29774999618530273
[exec-1] [INFO] [1700515610.024209021] [laserdrive]: Range at 3.1415927410125732: 0.0
[exec-1] [INFO] [1700515610.096859630] [laserdrive]: Range at 0: 0.0
[exec-1] [INFO] [1700515610.099205813] [laserdrive]: Range at 90: 3.739500045776367
[exec-1] [INFO] [1700515610.099600216] [laserdrive]: Range at -90: 0.2944999933242798
[exec-1] [INFO] [1700515610.100585899] [laserdrive]: Range at 3.1415927410125732: 0.0
[exec-1] [INFO] [1700515610.278349069] [laserdrive]: Range at 0: 0.0
[exec-1] [INFO] [1700515610.288552203] [laserdrive]: Range at 90: 16.0
[exec-1] [INFO] [1700515610.289000479] [laserdrive]: Range at -90: 0.0
[exec-1] [INFO] [1700515610.289314770] [laserdrive]: Range at 3.1415927410125732: 16.0
[exec-1] [INFO] [1700515610.291527808] [laserdrive]: Range at 0: 16.0
[exec-1] [INFO] [1700515610.291937992] [laserdrive]: Range at 90: 16.0
[exec-1] [INFO] [1700515610.292244819] [laserdrive]: Range at -90: 16.0
[exec-1] [INFO] [1700515610.292582724] [laserdrive]: Range at 3.1415927410125732: 16.0
[exec-1] [INFO] [1700515610.353655436] [laserdrive]: Range at 0: 16.0
[exec-1] [INFO] [1700515610.354026004] [laserdrive]: Range at 90: 16.0
[exec-1] [INFO] [1700515610.354371684] [laserdrive]: Range at -90: 0.2827500104904175
[exec-1] [INFO] [1700515610.355093845] [laserdrive]: Range at 3.1415927410125732: 0.0
[exec-1] [INFO] [1700515610.413881050] [laserdrive]: Range at 0: 16.0
[exec-1] [INFO] [1700515610.414329417] [laserdrive]: Range at 90: 0.0
[exec-1] [INFO] [1700515610.414670629] [laserdrive]: Range at -90: 0.27674999833106995
[exec-1] [INFO] [1700515610.414987904] [laserdrive]: Range at 3.1415927410125732: 0.0
[exec-1] [INFO] [1700515610.485461924] [laserdrive]: Range at 0: 16.0
[exec-1] [INFO] [1700515610.485969283] [laserdrive]: Range at 90: 0.0
[exec-1] [INFO] [1700515610.486285678] [laserdrive]: Range at -90: 16.0
[exec-1] [INFO] [1700515610.486634515] [laserdrive]: Range at 3.1415927410125732: 0.0
[exec-1] [INFO] [1700515610.610710898] [laserdrive]: Range at 0: 0.0
[exec-1] [INFO] [1700515610.611623041] [laserdrive]: Range at 90: 3.7295000553131104
[exec-1] [INFO] [1700515610.612223719] [laserdrive]: Range at -90: 0.2672500014305115
[exec-1] [INFO] [1700515610.612641197] [laserdrive]: Range at 3.1415927410125732: 0.0
[exec-1] [INFO] [1700515610.693643752] [laserdrive]: Range at 0: 0.0
[exec-1] [INFO] [1700515610.694552018] [laserdrive]: Range at 90: 16.0
[exec-1] [INFO] [1700515610.695135052] [laserdrive]: Range at -90: 0.2602500021457672
[exec-1] [INFO] [1700515610.703860443] [laserdrive]: Range at 3.1415927410125732: 16.0
[exec-1] [INFO] [1700515610.739976097] [laserdrive]: Range at 0: 16.0
[exec-1] [INFO] [1700515610.740423993] [laserdrive]: Range at 90: 16.0
[exec-1] [INFO] [1700515610.740777407] [laserdrive]: Range at -90: 0.25475001335144043
